diff,top_level_label
"- for i, j in enumerate(itertools.permutations(r, 3)):
+ for i, j in enumerate(itertools.permutations(r)):",call
"- a,b=map(int,input())
+ a,b=map(int,input().split())
+ 
+ ",call
"-     new += (new + v[i])/2
+     new = (new + v[i])/2",assignment
"+ #with open('random_pm00.txt') as f:
+     #n, k = map(int, f.readline().split())
+     #a = list(map(int, f.readline().split()))
- print(n,k)",call
"- while i < 5:
+ while True:",control_flow
"- print(a)
+ #print(a)",call
"- print(t)
+ # print(t)",call
"+ 
+ print(ans)",call
"- ans = sum(diff) - sum(diff[0:n])
+ ans = sum(diff) - sum(diff[0:n-1])",assignment
"- print(l)
-   temp = temp + int(num)
+   temp = temp + 1/int(num)",call
+   exit(),call
"- a.sort
+ a.sort()",call
"- drad = min(abs(hrad - mrad), np.pi-abs(hrad-mrad) )
+ drad = min(abs(hrad - mrad), 2*np.pi-abs(hrad-mrad) )",assignment
"-             ans = [x,y,z]
+             ans = [x,y,N-x-y]",assignment
"-     for i in range(N):
+     for i in range(1, N+1):",call
"-     if (x+y) > t and (x+y)%2 != t%2:
+     if (x+y)>t or (x+y)%2 != t%2:",control_flow
- print(A),call
"-     s=min(k*d,f(k//2)+a+k%2*d,f(--k//2)+a+-k%2*d,f(k//3)+b+k%3*d,f(--k//3)+b+-k%3*d,f(k//5)+c+k%5*d,f(--k//5)+c+-k%5*d)
+     s=min(k*d,f(k//2)+a+k%2*d,f(-(-k//2))+a+-k%2*d,f(k//3)+b+k%3*d,f(-(-k//3))+b+-k%3*d,f(k//5)+c+k%5*d,f(-(-k//5))+c+-k%5*d)",call
- print(A),call
"- nsl=['{:03}'.format() for i in range(1000)]
+ nsl=['{:03}'.format(i) for i in range(1000)]",call
"- if t == s[:-1] :
+ if s ==t[:-1]:",control_flow
"- print(dp)
+ #print(dp)",call
- print(p),call
"- for i in range(len(X)-1):
+ for i in range(len(X)):",expression
"- if ans == 2 or 0:
+ if ans == 2 or ans == 0:",control_flow
"- a = set[a]
+ a = set(a)",assignment
"-   if p^2 - 4*a*b > 0:
+   if p**2 - 4*a*b > 0:",control_flow
"- ary.sort
+ ary.sort()
- 
+  ",call
"-     twoleft = agg-A[idx]
+     twoleft = agg-A[idx-1]",assignment
"- if x-r>=0 & y-r>=0 & x+r<=w & y+r<=h:
+ if x-r>=0 and y-r>=0 and x+r<=w and y+r<=h:",control_flow
"-     
-     print(ans)",call
"- if c < a + b:
+ if c < a + b + 1:
-   eat_c = a + b
+   eat_c = a + b + 1",control_flow
"- check = []
+ check = [0]*n",assignment
"- 		o = ""0"" + o
+ 		o = o + ""0""",expression
"- print(S)
+ 
- ",call
"- if cnt == ecnt:
+ if cnt != 0 and cnt == ecnt:",control_flow
"+     else:
+         continue",control_flow
"- print(al-(acr+bcr)%mod)
+ print( (al-(acr+bcr))%mod )",call
"- s=list[input()]
+ s=list(input())",assignment
"+ num = int(num)
- elif num == 0 or num == 1 or num == 6 or num == 8:
+ elif num == 0 or num==1 or num==6 or num==8:
+ #elif num ==2 or num==4 or num==5 or num==7 or num==9:",assignment
"-     for i in range(1, len(A)):
+     for i in range(len(A)-1):",call
"- count = None
+ count = 0",assignment
+             break,control_flow
"- for i in range( 1, nums ):
+ for i in range( nums ):",call
"-     ans=min(ans,(i*j)%2019)
+     ans=min(ans,(s[i]*s[j])%2019)
+ ",call
"+         count = 0
+                 #print(ls[k][l])
+         #print(i,turn)",assignment
+ _ = input(),assignment
"+   else : continue
+   break",control_flow
"- if l[0] == l[1] + l[2] or l[1] == l[0] + l[2] or l[2] == l[0 + l[1]]:
+ if l[0] == l[1] + l[2] or l[1] == l[0] + l[2] or l[2] == l[0] + l[1]:",control_flow
"- for i in range(1,n):
+ for i in range(n):",call
-     print(li),call
"-     print(B)
+     ",call
"- while start < N:
+ while start < N-1: ",control_flow
+ A.sort(),call
"- if b>c:
+ if b>c and d>a:",control_flow
-         ans.append(num),call
"- for i in range(H - 1):
+ for i in range(H):
-     for j in range(W - 1):
+     for j in range(W):
-             num_max =  num_yoko[i][j] + num_tate[i][j]
+             num_max = num_yoko[i][j] + num_tate[i][j]
+ 
+ ",expression
- print(list2),call
"- if 9 in n:
+ if ""9"" in n:
-     ",control_flow
"- # n, m = map(int, ""4 1"".split())
+ # n, m = map(int, ""12 3"".split())
- # inputText2 = ""5 4 2 1""
+ # inputText2 = ""4 56 78 901 2 345 67 890 123 45 6 789""
- h = (1/4*m) * total
+ h = (1/(4*m)) * total
- # print(h)
+         break",control_flow
+ print(ans),call
+ sA.sort(),call
"- if (a+b)!=3 and (a==0 or b==0):
+ if (a+b)!=3 or (a==0 or b==0):",control_flow
"- 
+ ans=1
+ 
-     ans%=mod
+     ans=ans%mod",assignment
"-     for i in range(Y_MAX):
+     for i in range(1, Y_MAX + 1):",call
"- print(""Yes"" if a[m] >= x else ""No"")
+ print(""Yes"" if a[m - 1] >= x else ""No"")",expression
"- ans = [dfs([i]) for i in range(m+1)]
+ ans = [dfs([i]) for i in range(1, m+1)]",call
"-     checker += NN[-1]
+     checker += NN[-i-1]",expression
"- n1 = len(S)-len(T)
+ n1 = len(S)-len(T)+1
-         # print(S[k+1],T[k])
+         # print(S[k+i],T[k])",assignment
"-         print(n.sum())
+         print(sum(n))",call
"- if value.count(5) ==2:
+ if value.count(""5"") ==2:
-   if value.count(7) ==1:
+   if value.count(""7"") ==1:",control_flow
"- dp = [INF for i in range(N**2)]
+ dp = [INF for i in range(2**N)]
- for i in range(N**2):
+ for i in range(2**N):",expression
"- n = int(input().split())
+ n = int(input())",call
"- A = list(map(int, input().split())).sort()
+ A = list(map(int, input().split()))
+ A.sort()
- for i in range(1, len_A-1):
+ for i in range(1, len_A):",expression
"-     result.append(abs(int(T - h * 0.006) - A))
+     result.append(abs((T - h * 0.006) - A))",call
"-     if i%2==1: alice.append(l[i])
+     if i%2==1: alice.append(l[i-1])
-     elif i%2==0: bob.append(l[i])
+     elif i%2==0: bob.append(l[i-1])",expression
"-     n = int(input)
+     n = int(input())",call
"- a=abs(x1-y1)
+ a=abs(x1-y1)**2
- b=abs(x2-y2)
+ b=abs(x2-y2)**2",assignment
"- s=""AAAAAAAAAA""
+ s=list(input())",call
"- print(base, additional)
+ ",call
"- for i in range(0, m-1):
+ for i in range(0, m):",expression
"- 	print(li)
- 	if li[x]==0:
+ 		if li[x]==0:
- 		se.remove(x)
+ 			se.remove(x)",call
"- print(sum([a,b,c])+max(a,b,c)*(k*2-1))
+ print(sum([a,b,c])+max(a,b,c)*(2**k-1))",expression
"-   a.append((x - l, x + l - 1))
+   a.append((x - l, x + l))",expression
"-   a,b = map(input().split())
+   a,b = map(int, input().split())",call
"- print(""Yes"") if (N % 500)<A else print(""No"")
+ print(""Yes"") if (N % 500)<=A else print(""No"")",expression
"-     for i in range(n):
+     for i in range(1, n+1):",call
"- print(0)
+ # print(0)",call
"- print(int(s-s*(b*(s//b))))
+ print(int(s-(b*(s//b))))",expression
"- print(RL)
+ print(*RL)",call
"- print(ans)
+ print(ans%mod)",expression
- print(tot),call
"-         dp[i][j] = lst[j+1]-lst[max(0,j-arr[i-1])]
+         dp[i][j] = (lst[j+1]-lst[max(0,j-arr[i-1])])%mod",assignment
"- 
-       else:
-         break",control_flow
"- print(sort_v)
-   ",call
+     code = 0,assignment
"- for i in range(n):
+ for i in range(1,n+1):",call
-         print (S),call
"- print(arr)
+ #print(arr)
- 
+  
- 
+  
- 
+  
- 
+  
- 
+  
- 
+  
- 
+  
- 
- 
+  
+  ",call
